order_id,order_date,order_time,item_id,menu_item,category,size,unit_price,quantity,line_total,order_channel,payment_method
R1-00014,2026-05-27,17:05:05,404,Bottled Water,Drink,,1.79,3,5.37,Delivery,Credit Card
R1-00014,2026-05-27,17:05:05,101,Chicken Nuggets (6 pc),Chicken,6 pc,4.49,1,4.49,Delivery,Credit Card
R1-00015,2026-05-27,19:13:30,202,Cheeseburger,Burger,,3.99,1,3.99,Takeout,Credit Card
R1-00016,2026-05-28,09:12:22,203,Double Cheeseburger,Burger,,5.49,1,5.49,Dine-In,Cash
R1-00017,2026-05-28,09:26:45,102,Chicken Nuggets (10 pc),Chicken,10 pc,6.49,1,6.49,Delivery,Mobile Pay
R1-00017,2026-05-28,09:26:45,302,Medium Fries,Fries,Medium,2.49,3,7.47,Delivery,Mobile Pay
R1-00017,2026-05-28,09:26:45,404,Bottled Water,Drink,,1.79,2,3.58,Delivery,Mobile Pay
R1-00018,2026-05-28,11:31:34,202,Cheeseburger,Burger,,3.99,1,3.99,Drive-Thru,Mobile Pay
R1-00018,2026-05-28,11:31:34,107,Chicken Tenders (3 pc),Chicken,3 pc,4.99,1,4.99,Drive-Thru,Mobile Pay
R1-00018,2026-05-28,11:31:34,102,Chicken Nuggets (10 pc),Chicken,10 pc,6.49,1,6.49,Drive-Thru,Mobile Pay
R1-00019,2026-05-28,11:42:01,202,Cheeseburger,Burger,,3.99,3,11.97,Dine-In,Cash
R1-00019,2026-05-28,11:42:01,104,Crispy Chicken Sandwich,Chicken,,5.99,2,11.98,Dine-In,Cash
R1-00019,2026-05-28,11:42:01,106,Grilled Chicken Wrap,Chicken,,5.49,1,5.49,Dine-In,Cash
R1-00020,2026-05-28,12:37:19,108,Chicken Tenders (5 pc),Chicken,5 pc,7.29,1,7.29,Dine-In,Mobile Pay
R1-00021,2026-05-28,12:53:13,202,Cheeseburger,Burger,,3.99,1,3.99,Dine-In,Mobile Pay
R1-00021,2026-05-28,12:53:13,302,Medium Fries,Fries,Medium,2.49,1,2.49,Dine-In,Mobile Pay
R1-00021,2026-05-28,12:53:13,404,Bottled Water,Drink,,1.79,1,1.79,Dine-In,Mobile Pay
R1-00022,2026-05-28,14:11:20,204,Bacon Cheeseburger,Burger,,6.29,1,6.29,Dine-In,Debit Card
R1-00022,2026-05-28,14:11:20,102,Chicken Nuggets (10 pc),Chicken,10 pc,6.49,1,6.49,Dine-In,Debit Card
R1-00022,2026-05-28,14:11:20,302,Medium Fries,Fries,Medium,2.49,1,2.49,Dine-In,Debit Card
R1-00022,2026-05-28,14:11:20,203,Double Cheeseburger,Burger,,5.49,1,5.49,Dine-In,Debit Card
R1-00023,2026-05-28,17:33:01,202,Cheeseburger,Burger,,3.99,2,7.98,Drive-Thru,Credit Card
R1-00023,2026-05-28,17:33:01,304,Loaded Cheese Fries,Fries,,3.99,1,3.99,Drive-Thru,Credit Card
R1-00024,2026-05-28,19:51:09,201,Hamburger,Burger,,3.49,1,3.49,Dine-In,Debit Card
R1-00024,2026-05-28,19:51:09,403,Soft Drink (Large),Drink,Large,2.19,2,4.38,Dine-In,Debit Card
R1-00025,2026-05-29,09:02:45,202,Cheeseburger,Burger,,3.99,1,3.99,Drive-Thru,Cash
R1-00025,2026-05-29,09:02:45,304,Loaded Cheese Fries,Fries,,3.99,1,3.99,Drive-Thru,Cash
R1-00025,2026-05-29,09:02:45,203,Double Cheeseburger,Burger,,5.49,1,5.49,Drive-Thru,Cash
R1-00026,2026-05-29,11:53:50,201,Hamburger,Burger,,3.49,1,3.49,Dine-In,Credit Card
R1-00026,2026-05-29,11:53:50,302,Medium Fries,Fries,Medium,2.49,1,2.49,Dine-In,Credit Card
R1-00027,2026-05-29,12:04:11,107,Chicken Tenders (3 pc),Chicken,3 pc,4.99,1,4.99,Takeout,Debit Card
R1-00027,2026-05-29,12:04:11,304,Loaded Cheese Fries,Fries,,3.99,1,3.99,Takeout,Debit Card
R1-00027,2026-05-29,12:04:11,401,Soft Drink (Small),Drink,Small,1.49,1,1.49,Takeout,Debit Card
R1-00027,2026-05-29,12:04:11,105,Spicy Chicken Sandwich,Chicken,,6.29,3,18.87,Takeout,Debit Card
R1-00028,2026-05-29,12:15:24,202,Cheeseburger,Burger,,3.99,1,3.99,Dine-In,Debit Card
R1-00028,2026-05-29,12:15:24,302,Medium Fries,Fries,Medium,2.49,1,2.49,Dine-In,Debit Card
R1-00029,2026-05-29,12:35:17,201,Hamburger,Burger,,3.49,1,3.49,Drive-Thru,Credit Card
R1-00029,2026-05-29,12:35:17,403,Soft Drink (Large),Drink,Large,2.19,1,2.19,Drive-Thru,Credit Card
R1-00030,2026-05-29,13:15:35,104,Crispy Chicken Sandwich,Chicken,,5.99,1,5.99,Dine-In,Debit Card
R1-00030,2026-05-29,13:15:35,304,Loaded Cheese Fries,Fries,,3.99,1,3.99,Dine-In,Debit Card
R1-00030,2026-05-29,13:15:35,403,Soft Drink (Large),Drink,Large,2.19,1,2.19,Dine-In,Debit Card
R1-00031,2026-05-29,14:23:54,106,Grilled Chicken Wrap,Chicken,,5.49,1,5.49,Drive-Thru,Debit Card
R1-00031,2026-05-29,14:23:54,302,Medium Fries,Fries,Medium,2.49,2,4.98,Drive-Thru,Debit Card
R1-00031,2026-05-29,14:23:54,404,Bottled Water,Drink,,1.79,2,3.58,Drive-Thru,Debit Card
R1-00031,2026-05-29,14:23:54,202,Cheeseburger,Burger,,3.99,1,3.99,Drive-Thru,Debit Card
R1-00032,2026-05-29,16:36:41,202,Cheeseburger,Burger,,3.99,1,3.99,Dine-In,Credit Card
R1-00032,2026-05-29,16:36:41,301,Small Fries,Fries,Small,1.99,2,3.98,Dine-In,Credit Card
R1-00033,2026-05-29,19:52:30,204,Bacon Cheeseburger,Burger,,6.29,2,12.58,Delivery,Credit Card
R1-00033,2026-05-29,19:52:30,102,Chicken Nuggets (10 pc),Chicken,10 pc,6.49,1,6.49,Delivery,Credit Card
R1-00033,2026-05-29,19:52:30,301,Small Fries,Fries,Small,1.99,1,1.99,Delivery,Credit Card
R1-00033,2026-05-29,19:52:30,402,Soft Drink (Medium),Drink,Medium,1.89,1,1.89,Delivery,Credit Card
R1-00033,2026-05-29,19:52:30,104,Crispy Chicken Sandwich,Chicken,,5.99,1,5.99,Delivery,Credit Card
R1-00034,2026-05-30,09:21:22,202,Cheeseburger,Burger,,3.99,1,3.99,Drive-Thru,Debit Card
R1-00034,2026-05-30,09:21:22,103,Chicken Nuggets (20 pc),Chicken,20 pc,10.99,1,10.99,Drive-Thru,Debit Card
R1-00034,2026-05-30,09:21:22,301,Small Fries,Fries,Small,1.99,2,3.98,Drive-Thru,Debit Card
R1-00035,2026-05-30,12:09:58,205,Stack Deluxe Burger,Burger,,7.49,1,7.49,Dine-In,Credit Card
R1-00035,2026-05-30,12:09:58,304,Loaded Cheese Fries,Fries,,3.99,3,11.97,Dine-In,Credit Card
R1-00035,2026-05-30,12:09:58,205,Stack Deluxe Burger,Burger,,7.49,1,7.49,Dine-In,Credit Card
R1-00036,2026-05-30,12:14:39,205,Stack Deluxe Burger,Burger,,7.49,1,7.49,Drive-Thru,Cash
R1-00036,2026-05-30,12:14:39,303,Large Fries,Fries,Large,2.99,1,2.99,Drive-Thru,Cash
R1-00036,2026-05-30,12:14:39,402,Soft Drink (Medium),Drink,Medium,1.89,1,1.89,Drive-Thru,Cash
R1-00037,2026-05-30,15:18:22,108,Chicken Tenders (5 pc),Chicken,5 pc,7.29,1,7.29,Drive-Thru,Mobile Pay
R1-00037,2026-05-30,15:18:22,302,Medium Fries,Fries,Medium,2.49,3,7.47,Drive-Thru,Mobile Pay
R1-00037,2026-05-30,15:18:22,402,Soft Drink (Medium),Drink,Medium,1.89,1,1.89,Drive-Thru,Mobile Pay
R1-00038,2026-05-30,18:00:38,105,Spicy Chicken Sandwich,Chicken,,6.29,1,6.29,Drive-Thru,Credit Card
R1-00038,2026-05-30,18:00:38,302,Medium Fries,Fries,Medium,2.49,1,2.49,Drive-Thru,Credit Card
R1-00038,2026-05-30,18:00:38,403,Soft Drink (Large),Drink,Large,2.19,1,2.19,Drive-Thru,Credit Card
R1-00039,2026-05-30,18:25:08,101,Chicken Nuggets (6 pc),Chicken,6 pc,4.49,1,4.49,Delivery,Credit Card
R1-00039,2026-05-30,18:25:08,301,Small Fries,Fries,Small,1.99,1,1.99,Delivery,Credit Card
R1-00039,2026-05-30,18:25:08,403,Soft Drink (Large),Drink,Large,2.19,1,2.19,Delivery,Credit Card
R1-00040,2026-05-30,19:25:24,205,Stack Deluxe Burger,Burger,,7.49,1,7.49,Drive-Thru,Credit Card
R1-00040,2026-05-30,19:25:24,104,Crispy Chicken Sandwich,Chicken,,5.99,1,5.99,Drive-Thru,Credit Card
R1-00040,2026-05-30,19:25:24,301,Small Fries,Fries,Small,1.99,1,1.99,Drive-Thru,Credit Card
R1-00040,2026-05-30,19:25:24,403,Soft Drink (Large),Drink,Large,2.19,1,2.19,Drive-Thru,Credit Card
R1-00041,2026-05-30,19:33:51,202,Cheeseburger,Burger,,3.99,1,3.99,Drive-Thru,Credit Card
R1-00041,2026-05-30,19:33:51,301,Small Fries,Fries,Small,1.99,1,1.99,Drive-Thru,Credit Card
R1-00042,2026-05-31,10:47:38,202,Cheeseburger,Burger,,3.99,1,3.99,Dine-In,Debit Card
R1-00042,2026-05-31,10:47:38,106,Grilled Chicken Wrap,Chicken,,5.49,1,5.49,Dine-In,Debit Card
R1-00042,2026-05-31,10:47:38,402,Soft Drink (Medium),Drink,Medium,1.89,1,1.89,Dine-In,Debit Card
R1-00043,2026-05-31,11:37:35,104,Crispy Chicken Sandwich,Chicken,,5.99,3,17.97,Dine-In,Debit Card
R1-00043,2026-05-31,11:37:35,304,Loaded Cheese Fries,Fries,,3.99,1,3.99,Dine-In,Debit Card
R1-00043,2026-05-31,11:37:35,404,Bottled Water,Drink,,1.79,1,1.79,Dine-In,Debit Card
R1-00044,2026-05-31,13:10:09,103,Chicken Nuggets (20 pc),Chicken,20 pc,10.99,2,21.98,Drive-Thru,Debit Card
R1-00045,2026-05-31,18:53:09,204,Bacon Cheeseburger,Burger,,6.29,1,6.29,Dine-In,Credit Card
R1-00045,2026-05-31,18:53:09,301,Small Fries,Fries,Small,1.99,2,3.98,Dine-In,Credit Card
R1-00046,2026-05-31,19:22:00,202,Cheeseburger,Burger,,3.99,1,3.99,Drive-Thru,Credit Card
R1-00046,2026-05-31,19:22:00,404,Bottled Water,Drink,,1.79,2,3.58,Drive-Thru,Credit Card
R1-00047,2026-05-31,21:44:49,102,Chicken Nuggets (10 pc),Chicken,10 pc,6.49,3,19.47,Dine-In,Mobile Pay
R1-00047,2026-05-31,21:44:49,304,Loaded Cheese Fries,Fries,,3.99,1,3.99,Dine-In,Mobile Pay
R1-00047,2026-05-31,21:44:49,404,Bottled Water,Drink,,1.79,1,1.79,Dine-In,Mobile Pay
R1-00047,2026-05-31,21:44:49,103,Chicken Nuggets (20 pc),Chicken,20 pc,10.99,1,10.99,Dine-In,Mobile Pay
R1-00048,2026-06-01,11:34:41,205,Stack Deluxe Burger,Burger,,7.49,1,7.49,Takeout,Debit Card
R1-00048,2026-06-01,11:34:41,103,Chicken Nuggets (20 pc),Chicken,20 pc,10.99,1,10.99,Takeout,Debit Card
R1-00048,2026-06-01,11:34:41,301,Small Fries,Fries,Small,1.99,1,1.99,Takeout,Debit Card
R1-00048,2026-06-01,11:34:41,402,Soft Drink (Medium),Drink,Medium,1.89,1,1.89,Takeout,Debit Card
R1-00048,2026-06-01,11:34:41,104,Crispy Chicken Sandwich,Chicken,,5.99,1,5.99,Takeout,Debit Card
R1-00049,2026-06-01,11:41:14,201,Hamburger,Burger,,3.49,1,3.49,Dine-In,Debit Card
R1-00049,2026-06-01,11:41:14,302,Medium Fries,Fries,Medium,2.49,1,2.49,Dine-In,Debit Card
R1-00050,2026-06-01,13:47:55,201,Hamburger,Burger,,3.49,3,10.47,Dine-In,Credit Card
R1-00050,2026-06-01,13:47:55,302,Medium Fries,Fries,Medium,2.49,1,2.49,Dine-In,Credit Card
R1-00050,2026-06-01,13:47:55,404,Bottled Water,Drink,,1.79,1,1.79,Dine-In,Credit Card
R1-00050,2026-06-01,13:47:55,103,Chicken Nuggets (20 pc),Chicken,20 pc,10.99,2,21.98,Dine-In,Credit Card
R1-00051,2026-06-01,18:31:23,103,Chicken Nuggets (20 pc),Chicken,20 pc,10.99,1,10.99,Drive-Thru,Credit Card
R1-00052,2026-06-01,18:50:14,201,Hamburger,Burger,,3.49,1,3.49,Takeout,Debit Card
R1-00052,2026-06-01,18:50:14,302,Medium Fries,Fries,Medium,2.49,1,2.49,Takeout,Debit Card
R1-00052,2026-06-01,18:50:14,402,Soft Drink (Medium),Drink,Medium,1.89,1,1.89,Takeout,Debit Card
R1-00053,2026-06-01,18:50:40,203,Double Cheeseburger,Burger,,5.49,1,5.49,Drive-Thru,Credit Card
R1-00053,2026-06-01,18:50:40,101,Chicken Nuggets (6 pc),Chicken,6 pc,4.49,1,4.49,Drive-Thru,Credit Card
R1-00053,2026-06-01,18:50:40,302,Medium Fries,Fries,Medium,2.49,1,2.49,Drive-Thru,Credit Card
R1-00053,2026-06-01,18:50:40,404,Bottled Water,Drink,,1.79,1,1.79,Drive-Thru,Credit Card
R1-00054,2026-06-01,19:05:33,205,Stack Deluxe Burger,Burger,,7.49,1,7.49,Drive-Thru,Credit Card
R1-00054,2026-06-01,19:05:33,107,Chicken Tenders (3 pc),Chicken,3 pc,4.99,1,4.99,Drive-Thru,Credit Card
R1-00054,2026-06-01,19:05:33,404,Bottled Water,Drink,,1.79,1,1.79,Drive-Thru,Credit Card
R1-00055,2026-06-02,11:51:11,104,Crispy Chicken Sandwich,Chicken,,5.99,1,5.99,Dine-In,Debit Card
R1-00055,2026-06-02,11:51:11,302,Medium Fries,Fries,Medium,2.49,2,4.98,Dine-In,Debit Card
R1-00056,2026-06-02,13:21:57,204,Bacon Cheeseburger,Burger,,6.29,1,6.29,Dine-In,Mobile Pay
R1-00056,2026-06-02,13:21:57,403,Soft Drink (Large),Drink,Large,2.19,1,2.19,Dine-In,Mobile Pay
R1-00057,2026-06-02,13:46:52,103,Chicken Nuggets (20 pc),Chicken,20 pc,10.99,1,10.99,Drive-Thru,Debit Card
R1-00057,2026-06-02,13:46:52,301,Small Fries,Fries,Small,1.99,1,1.99,Drive-Thru,Debit Card
R1-00058,2026-06-02,15:52:33,205,Stack Deluxe Burger,Burger,,7.49,1,7.49,Drive-Thru,Credit Card
R1-00058,2026-06-02,15:52:33,103,Chicken Nuggets (20 pc),Chicken,20 pc,10.99,1,10.99,Drive-Thru,Credit Card
R1-00058,2026-06-02,15:52:33,402,Soft Drink (Medium),Drink,Medium,1.89,1,1.89,Drive-Thru,Credit Card
R1-00059,2026-06-02,16:25:23,103,Chicken Nuggets (20 pc),Chicken,20 pc,10.99,1,10.99,Dine-In,Mobile Pay
R1-00059,2026-06-02,16:25:23,304,Loaded Cheese Fries,Fries,,3.99,1,3.99,Dine-In,Mobile Pay
R1-00059,2026-06-02,16:25:23,404,Bottled Water,Drink,,1.79,1,1.79,Dine-In,Mobile Pay
R1-00060,2026-06-02,18:22:12,202,Cheeseburger,Burger,,3.99,1,3.99,Drive-Thru,Credit Card
R1-00060,2026-06-02,18:22:12,303,Large Fries,Fries,Large,2.99,1,2.99,Drive-Thru,Credit Card
R1-00060,2026-06-02,18:22:12,402,Soft Drink (Medium),Drink,Medium,1.89,1,1.89,Drive-Thru,Credit Card
R1-00061,2026-06-03,11:29:09,202,Cheeseburger,Burger,,3.99,1,3.99,Takeout,Debit Card
R1-00061,2026-06-03,11:29:09,101,Chicken Nuggets (6 pc),Chicken,6 pc,4.49,1,4.49,Takeout,Debit Card
R1-00061,2026-06-03,11:29:09,303,Large Fries,Fries,Large,2.99,1,2.99,Takeout,Debit Card
R1-00061,2026-06-03,11:29:09,402,Soft Drink (Medium),Drink,Medium,1.89,1,1.89,Takeout,Debit Card
R1-00061,2026-06-03,11:29:09,105,Spicy Chicken Sandwich,Chicken,,6.29,1,6.29,Takeout,Debit Card
R1-00062,2026-06-03,12:06:15,205,Stack Deluxe Burger,Burger,,7.49,1,7.49,Takeout,Credit Card
R1-00062,2026-06-03,12:06:15,102,Chicken Nuggets (10 pc),Chicken,10 pc,6.49,1,6.49,Takeout,Credit Card
R1-00062,2026-06-03,12:06:15,302,Medium Fries,Fries,Medium,2.49,1,2.49,Takeout,Credit Card
R1-00063,2026-06-03,12:09:41,106,Grilled Chicken Wrap,Chicken,,5.49,1,5.49,Takeout,Debit Card
R1-00063,2026-06-03,12:09:41,403,Soft Drink (Large),Drink,Large,2.19,1,2.19,Takeout,Debit Card
R1-00064,2026-06-03,16:36:13,107,Chicken Tenders (3 pc),Chicken,3 pc,4.99,1,4.99,Drive-Thru,Debit Card
R1-00064,2026-06-03,16:36:13,303,Large Fries,Fries,Large,2.99,1,2.99,Drive-Thru,Debit Card
R1-00064,2026-06-03,16:36:13,403,Soft Drink (Large),Drink,Large,2.19,1,2.19,Drive-Thru,Debit Card
R1-00065,2026-06-04,11:40:23,202,Cheeseburger,Burger,,3.99,1,3.99,Drive-Thru,Mobile Pay
R1-00065,2026-06-04,11:40:23,108,Chicken Tenders (5 pc),Chicken,5 pc,7.29,1,7.29,Drive-Thru,Mobile Pay
R1-00065,2026-06-04,11:40:23,302,Medium Fries,Fries,Medium,2.49,1,2.49,Drive-Thru,Mobile Pay
R1-00065,2026-06-04,11:40:23,403,Soft Drink (Large),Drink,Large,2.19,1,2.19,Drive-Thru,Mobile Pay
R1-00066,2026-06-04,13:58:28,203,Double Cheeseburger,Burger,,5.49,2,10.98,Takeout,Mobile Pay
R1-00066,2026-06-04,13:58:28,301,Small Fries,Fries,Small,1.99,3,5.97,Takeout,Mobile Pay
R1-00066,2026-06-04,13:58:28,401,Soft Drink (Small),Drink,Small,1.49,1,1.49,Takeout,Mobile Pay
R1-00067,2026-06-04,14:03:22,106,Grilled Chicken Wrap,Chicken,,5.49,1,5.49,Drive-Thru,Credit Card
R1-00067,2026-06-04,14:03:22,304,Loaded Cheese Fries,Fries,,3.99,1,3.99,Drive-Thru,Credit Card
R1-00068,2026-06-04,16:50:33,203,Double Cheeseburger,Burger,,5.49,1,5.49,Dine-In,Credit Card
R1-00068,2026-06-04,16:50:33,301,Small Fries,Fries,Small,1.99,3,5.97,Dine-In,Credit Card
R1-00069,2026-06-04,18:29:15,204,Bacon Cheeseburger,Burger,,6.29,1,6.29,Delivery,Debit Card
R1-00069,2026-06-04,18:29:15,107,Chicken Tenders (3 pc),Chicken,3 pc,4.99,1,4.99,Delivery,Debit Card
R1-00069,2026-06-04,18:29:15,302,Medium Fries,Fries,Medium,2.49,3,7.47,Delivery,Debit Card
R1-00069,2026-06-04,18:29:15,404,Bottled Water,Drink,,1.79,1,1.79,Delivery,Debit Card
R1-00069,2026-06-04,18:29:15,403,Soft Drink (Large),Drink,Large,2.19,1,2.19,Delivery,Debit Card
R1-00070,2026-06-05,11:02:23,205,Stack Deluxe Burger,Burger,,7.49,1,7.49,Delivery,Credit Card
R1-00070,2026-06-05,11:02:23,105,Spicy Chicken Sandwich,Chicken,,6.29,1,6.29,Delivery,Credit Card
R1-00070,2026-06-05,11:02:23,303,Large Fries,Fries,Large,2.99,1,2.99,Delivery,Credit Card
R1-00070,2026-06-05,11:02:23,401,Soft Drink (Small),Drink,Small,1.49,2,2.98,Delivery,Credit Card
R1-00071,2026-06-05,12:55:11,203,Double Cheeseburger,Burger,,5.49,1,5.49,Drive-Thru,Credit Card
R1-00071,2026-06-05,12:55:11,107,Chicken Tenders (3 pc),Chicken,3 pc,4.99,1,4.99,Drive-Thru,Credit Card
R1-00071,2026-06-05,12:55:11,302,Medium Fries,Fries,Medium,2.49,1,2.49,Drive-Thru,Credit Card
R1-00072,2026-06-05,13:32:37,203,Double Cheeseburger,Burger,,5.49,1,5.49,Drive-Thru,Debit Card
R1-00072,2026-06-05,13:32:37,108,Chicken Tenders (5 pc),Chicken,5 pc,7.29,3,21.87,Drive-Thru,Debit Card
R1-00072,2026-06-05,13:32:37,304,Loaded Cheese Fries,Fries,,3.99,2,7.98,Drive-Thru,Debit Card
R1-00072,2026-06-05,13:32:37,403,Soft Drink (Large),Drink,Large,2.19,1,2.19,Drive-Thru,Debit Card
R1-00073,2026-06-05,13:35:09,203,Double Cheeseburger,Burger,,5.49,2,10.98,Dine-In,Credit Card
R1-00073,2026-06-05,13:35:09,401,Soft Drink (Small),Drink,Small,1.49,1,1.49,Dine-In,Credit Card
R1-00074,2026-06-05,18:19:33,202,Cheeseburger,Burger,,3.99,1,3.99,Delivery,Debit Card
R1-00074,2026-06-05,18:19:33,303,Large Fries,Fries,Large,2.99,1,2.99,Delivery,Debit Card
R1-00074,2026-06-05,18:19:33,404,Bottled Water,Drink,,1.79,2,3.58,Delivery,Debit Card
R1-00075,2026-06-05,18:47:49,105,Spicy Chicken Sandwich,Chicken,,6.29,1,6.29,Delivery,Credit Card
R1-00075,2026-06-05,18:47:49,302,Medium Fries,Fries,Medium,2.49,1,2.49,Delivery,Credit Card
R1-00075,2026-06-05,18:47:49,404,Bottled Water,Drink,,1.79,1,1.79,Delivery,Credit Card
R1-00076,2026-06-05,19:10:34,203,Double Cheeseburger,Burger,,5.49,1,5.49,Drive-Thru,Cash
R1-00077,2026-06-06,13:57:35,205,Stack Deluxe Burger,Burger,,7.49,1,7.49,Takeout,Credit Card
R1-00077,2026-06-06,13:57:35,302,Medium Fries,Fries,Medium,2.49,1,2.49,Takeout,Credit Card
R1-00077,2026-06-06,13:57:35,404,Bottled Water,Drink,,1.79,2,3.58,Takeout,Credit Card
R1-00078,2026-06-06,17:11:26,108,Chicken Tenders (5 pc),Chicken,5 pc,7.29,1,7.29,Drive-Thru,Cash
R1-00078,2026-06-06,17:11:26,402,Soft Drink (Medium),Drink,Medium,1.89,1,1.89,Drive-Thru,Cash
R1-00078,2026-06-06,17:11:26,105,Spicy Chicken Sandwich,Chicken,,6.29,1,6.29,Drive-Thru,Cash
R1-00079,2026-06-06,20:54:43,105,Spicy Chicken Sandwich,Chicken,,6.29,3,18.87,Drive-Thru,Cash
R1-00079,2026-06-06,20:54:43,304,Loaded Cheese Fries,Fries,,3.99,1,3.99,Drive-Thru,Cash
R1-00079,2026-06-06,20:54:43,404,Bottled Water,Drink,,1.79,1,1.79,Drive-Thru,Cash
R1-00080,2026-06-06,21:12:42,204,Bacon Cheeseburger,Burger,,6.29,1,6.29,Dine-In,Credit Card
R1-00081,2026-06-06,21:49:45,201,Hamburger,Burger,,3.49,1,3.49,Drive-Thru,Credit Card
R1-00081,2026-06-06,21:49:45,101,Chicken Nuggets (6 pc),Chicken,6 pc,4.49,2,8.98,Drive-Thru,Credit Card
R1-00081,2026-06-06,21:49:45,404,Bottled Water,Drink,,1.79,1,1.79,Drive-Thru,Credit Card
R1-00081,2026-06-06,21:49:45,302,Medium Fries,Fries,Medium,2.49,1,2.49,Drive-Thru,Credit Card
R1-00082,2026-06-06,21:59:52,108,Chicken Tenders (5 pc),Chicken,5 pc,7.29,1,7.29,Takeout,Credit Card
R1-00082,2026-06-06,21:59:52,304,Loaded Cheese Fries,Fries,,3.99,1,3.99,Takeout,Credit Card
